imdb	date	box_office
tt0012413	1922-03-31	10000.0
tt0013716	1922-03-31	20000.0
tt0012468	1922-03-31	16000.0
tt0013140	1922-03-31	45500.0
tt0013706	1922-03-31	4000.0
tt0013502	1922-03-31	9000.0
tt0013660	1922-03-31	5000.0
tt0012183	1922-03-31	10000.0
tt0162635	1922-03-31	30500.0
tt0013303	1922-03-31	4500.0
tt0012685	1922-03-31	7000.0
tt0013559	1922-03-31	4000.0
tt0013766	1922-03-31	24000.0
tt0013741	1922-03-31	12000.0
tt0013183	1922-03-31	34800.0
tt0013032	1922-03-31	9750.0
tt0013205	1922-03-31	10500.0
tt0013110	1922-03-31	21500.0
tt0013790	1922-03-31	16000.0
tt0012190	1922-03-31	10000.0
tt0013490	1922-03-31	9000.0
tt0012181	1922-03-31	21400.0
tt0012067	1922-03-31	10000.0
tt0012532	1922-03-31	8000.0
tt0013402	1922-03-31	5500.0
tt0013000	1922-03-31	4500.0
tt0012937	1922-03-31	2500.0
tt0013260	1922-03-31	2500.0
tt0013459	1922-03-31	6000.0
tt0013785	1922-03-31	6100.0
tt0012270	1922-03-31	6100.0
tt0012184	1922-03-31	7000.0
tt0012968	1922-03-31	3000.0
tt0013025	1922-03-31	3000.0
tt0011841	1922-03-31	4000.0
tt0012196	1922-03-31	700.0
tt0013515	1922-09-01	10000.0
tt0013597	1922-09-01	2250.0
tt0013550	1922-09-01	32000.0
tt0013145	1922-09-01	3000.0
tt0013402	1922-09-01	13800.0
tt0013430	1922-09-01	3000.0
tt0012952	1922-09-01	88000.0
tt0013380	1922-09-01	25500.0
tt0013081	1922-09-01	8700.0
tt0013433	1922-09-01	64000.0
tt0013229	1922-09-01	33500.0
tt0013695	1922-09-01	4000.0
tt0011955	1922-09-01	4500.0
tt0013262	1922-09-01	13000.0
tt0013356	1922-09-01	7000.0
tt0013131	1922-09-01	8500.0
tt0260839	1922-09-01	10000.0
tt0013432	1922-09-01	2250.0
tt0013040	1922-09-01	2250.0
tt0013456	1922-09-01	3750.0
tt0013358	1922-09-01	10000.0
tt0013718	1922-09-01	10000.0
tt0013758	1922-09-01	16500.0
tt0013092	1922-09-01	7000.0
tt0013267	1922-09-01	4500.0
tt0013376	1922-09-01	2000.0
tt0013367	1922-09-01	8000.0
tt0013560	1922-09-01	6000.0
tt0013201	1922-08-18	17500.0
tt0013637	1922-08-18	27500.0
tt0013262	1922-08-18	21400.0
tt0013255	1922-08-18	30700.0
tt0013071	1922-08-18	49900.0
tt0010060	1922-08-18	8500.0
tt0012965	1922-08-18	10000.0
tt0013704	1922-08-18	4000.0
tt0013166	1922-08-18	17500.0
tt0013202	1922-08-18	8500.0
tt0011978	1922-08-18	8500.0
tt0013456	1922-08-18	28750.0
tt0255000	1922-08-18	4000.0
tt0012781	1922-08-18	15750.0
tt0013729	1922-08-18	15750.0
tt0013268	1922-08-18	31500.0
tt0013072	1922-08-18	7500.0
tt0013422	1922-08-18	7500.0
tt0013120	1922-08-18	19000.0
tt0012532	1922-08-18	9000.0
tt0012487	1922-08-18	3750.0
tt0013376	1922-08-18	3400.0
tt0013603	1922-08-18	2000.0
tt0013515	1922-08-18	15000.0
tt0013597	1922-08-18	2000.0
tt0012814	1922-08-18	38000.0
tt0013253	1922-08-18	6500.0
tt0013418	1922-08-18	2800.0
tt0013145	1922-08-18	5000.0
tt0013430	1922-08-18	2500.0
tt0013229	1922-08-18	19464.0
tt0012952	1922-08-18	37400.0
tt0013284	1922-08-18	20000.0
tt0013741	1922-08-18	7000.0
tt0134720	1922-08-18	6500.0
tt0013625	1922-08-18	3750.0
tt0295755	1922-08-18	3750.0
tt0013144	1922-08-18	8000.0
tt0164890	1922-08-18	12000.0
tt0013031	1922-06-02	3800.0
tt0013038	1922-06-02	31890.0
tt0011830	1922-06-02	3800.0
tt0010969	1922-06-02	13500.0
tt0012938	1922-06-02	26200.0
tt0013126	1922-06-02	17000.0
tt0013713	1922-06-02	21070.0
tt0013108	1922-06-02	16500.0
tt0013603	1922-06-02	5000.0
tt0013369	1922-06-02	13800.0
tt0013795	1922-06-02	11300.0
tt0011368	1922-06-02	2200.0
tt0013804	1922-06-02	2000.0
tt0013547	1922-06-02	21000.0
tt0013270	1922-06-02	9100.0
